run_id,char_id,class,spec,hero_talent,role,region,dungeon,key_level,timed,duration_s,dps,deaths,item_level,date
4802,7177,Priest,Discipline,Oracle,Healer,EU,Voidscar Arena,15,-1,2408.8,17934,8,334,2026-08-01
4802,7058,Mage,Arcane,Sunfury,DPS,EU,Voidscar Arena,15,-1,2408.8,165466,9,334,2026-08-01
4802,7178,Warrior,Arms,Slayer,DPS,EU,Voidscar Arena,15,-1,2408.8,222555,8,334,2026-08-01
4802,7179,DeathKnight,Frost,Deathbringer,DPS,EU,Voidscar Arena,15,-1,2408.8,176278,7,334,2026-08-01
4803,2860,Paladin,Protection,Unknown,Tank,CN,Ruby Life Pools,18,1,1529.6,202904,0,334,2026-08-01
4803,2657,Paladin,Holy,Unknown,Healer,CN,Ruby Life Pools,18,1,1529.6,59970,1,334,2026-08-01
4803,1408,Warrior,Arms,Unknown,DPS,CN,Ruby Life Pools,18,1,1529.6,363722,2,334,2026-08-01
4803,508,DeathKnight,Unholy,Unknown,DPS,CN,Ruby Life Pools,18,1,1529.6,373841,0,334,2026-08-01
4803,1409,Hunter,Marksmanship,Unknown,DPS,CN,Ruby Life Pools,18,1,1529.6,358017,2,334,2026-08-01
4804,7180,Paladin,Protection,Lightsmith,Tank,TW,Altar of Fangs,18,0,1991.9,183557,1,334,2026-08-01
4804,7181,Paladin,Holy,Herald of the Sun,Healer,TW,Altar of Fangs,18,0,1991.9,35358,0,334,2026-08-01
4804,1694,DemonHunter,Devourer,Annihilator,DPS,TW,Altar of Fangs,18,0,1991.9,315106,0,334,2026-08-01
4804,5182,Warrior,Arms,Slayer,DPS,TW,Altar of Fangs,18,0,1991.9,319932,2,334,2026-08-01
4804,5181,Mage,Arcane,Sunfury,DPS,TW,Altar of Fangs,18,0,1991.9,320502,2,334,2026-08-01
4805,5,Warrior,Protection,Mountain Thane,Tank,US,Ruby Life Pools,19,1,1484.6,230787,1,334,2026-08-01
4805,321,Evoker,Preservation,Flameshaper,Healer,US,Ruby Life Pools,19,1,1484.6,86455,0,334,2026-08-01
4805,1273,Paladin,Retribution,Herald of the Sun,DPS,US,Ruby Life Pools,19,1,1484.6,374018,2,334,2026-08-01
4805,6513,Mage,Arcane,Sunfury,DPS,US,Ruby Life Pools,19,1,1484.6,408922,1,334,2026-08-01
4805,140,Mage,Arcane,Sunfury,DPS,US,Ruby Life Pools,19,1,1484.6,448058,0,334,2026-08-01
4806,1274,DeathKnight,Blood,Deathbringer,Tank,US,Ruby Life Pools,20,0,1787.3,223770,0,334,2026-08-01
4806,228,Paladin,Holy,Lightsmith,Healer,US,Ruby Life Pools,20,0,1787.3,60174,4,334,2026-08-01
4806,2191,Druid,Balance,Elune's Chosen,DPS,US,Ruby Life Pools,20,0,1787.3,372235,2,334,2026-08-01
4806,949,DemonHunter,Havoc,Fel-Scarred,DPS,US,Ruby Life Pools,20,0,1787.3,333392,2,334,2026-08-01
4806,244,Mage,Arcane,Sunfury,DPS,US,Ruby Life Pools,20,0,1787.3,443691,1,334,2026-08-01
4807,5344,DeathKnight,Blood,Deathbringer,Tank,CN,Ruby Life Pools,19,0,1672.6,249436,1,334,2026-08-01
4807,5969,Paladin,Holy,Lightsmith,Healer,CN,Ruby Life Pools,19,0,1672.6,68332,1,334,2026-08-01
4807,1062,DemonHunter,Havoc,Fel-Scarred,DPS,CN,Ruby Life Pools,19,0,1672.6,369926,2,334,2026-08-01
4807,4626,Shaman,Elemental,Farseer,DPS,CN,Ruby Life Pools,19,0,1672.6,365186,1,334,2026-08-01
4807,1733,Rogue,Outlaw,Trickster,DPS,CN,Ruby Life Pools,19,0,1672.6,414198,1,334,2026-08-01
4808,146,Paladin,Protection,Lightsmith,Tank,CN,Ruby Life Pools,20,0,1718.2,193279,0,334,2026-08-01
4808,1319,Paladin,Holy,Lightsmith,Healer,CN,Ruby Life Pools,20,0,1718.2,71287,2,334,2026-08-01
4808,7182,Mage,Arcane,Sunfury,DPS,CN,Ruby Life Pools,20,0,1718.2,438323,0,334,2026-08-01
4808,1922,Warrior,Arms,Slayer,DPS,CN,Ruby Life Pools,20,0,1718.2,413750,0,334,2026-08-01
4808,5346,DemonHunter,Devourer,Annihilator,DPS,CN,Ruby Life Pools,20,0,1718.2,376370,0,334,2026-08-01
4809,7183,Paladin,Protection,Lightsmith,Tank,CN,Murder Row,19,1,1965.7,156428,0,334,2026-08-01
4809,7184,Paladin,Holy,Lightsmith,Healer,CN,Murder Row,19,1,1965.7,66367,1,334,2026-08-01
4809,7185,DemonHunter,Devourer,Annihilator,DPS,CN,Murder Row,19,1,1965.7,312295,1,334,2026-08-01
4809,1324,Mage,Arcane,Sunfury,DPS,CN,Murder Row,19,1,1965.7,365594,0,334,2026-08-01
4809,1325,Priest,Shadow,Voidweaver,DPS,CN,Murder Row,19,1,1965.7,319164,2,334,2026-08-01
4810,1017,DeathKnight,Blood,San'layn,Tank,EU,Murder Row,18,1,1606.7,193616,1,334,2026-08-01
4810,7117,Shaman,Restoration,Totemic,Healer,EU,Murder Row,18,1,1606.7,66975,1,334,2026-08-01
4810,974,Rogue,Outlaw,Trickster,DPS,EU,Murder Row,18,1,1606.7,357549,0,334,2026-08-01
4810,212,Mage,Arcane,Sunfury,DPS,EU,Murder Row,18,1,1606.7,443127,0,334,2026-08-01
4810,4189,Druid,Balance,Elune's Chosen,DPS,EU,Murder Row,18,1,1606.7,337876,0,334,2026-08-01
4811,7128,DeathKnight,Blood,San'layn,Tank,EU,Kings' Rest,15,1,1808.5,94215,1,334,2026-08-01
4811,1474,Shaman,Restoration,Totemic,Healer,EU,Kings' Rest,15,1,1808.5,26356,2,334,2026-08-01
4811,335,Rogue,Subtlety,Trickster,DPS,EU,Kings' Rest,15,1,1808.5,207795,2,334,2026-08-01
4811,7186,Mage,Arcane,Spellslinger,DPS,EU,Kings' Rest,15,1,1808.5,164135,3,334,2026-08-01
4811,2213,Warlock,Affliction,Soul Harvester,DPS,EU,Kings' Rest,15,1,1808.5,194535,1,334,2026-08-01
4812,1776,DemonHunter,Vengeance,Annihilator,Tank,CN,Temple of Sethraliss,16,0,2039.1,129135,1,334,2026-08-01
4812,6563,Paladin,Holy,Lightsmith,Healer,CN,Temple of Sethraliss,16,0,2039.1,39711,2,334,2026-08-01
4812,7187,Warlock,Demonology,Diabolist,DPS,CN,Temple of Sethraliss,16,0,2039.1,189058,3,334,2026-08-01
4812,1777,Mage,Arcane,Spellslinger,DPS,CN,Temple of Sethraliss,16,0,2039.1,236879,1,334,2026-08-01
4812,6686,Warrior,Arms,Slayer,DPS,CN,Temple of Sethraliss,16,0,2039.1,279687,1,334,2026-08-01
4813,2860,Paladin,Protection,Lightsmith,Tank,CN,Murder Row,18,0,1983.2,164551,1,334,2026-08-01
4813,2657,Paladin,Holy,Lightsmith,Healer,CN,Murder Row,18,0,1983.2,44788,1,334,2026-08-01
4813,1409,Hunter,Marksmanship,Sentinel,DPS,CN,Murder Row,18,0,1983.2,296387,2,334,2026-08-01
4813,508,DeathKnight,Unholy,San'layn,DPS,CN,Murder Row,18,0,1983.2,307077,2,334,2026-08-01
4813,1408,Warrior,Arms,Slayer,DPS,CN,Murder Row,18,0,1983.2,279509,3,334,2026-08-01
4814,1045,Paladin,Protection,Lightsmith,Tank,CN,Kings' Rest,20,0,1929.6,132276,1,334,2026-08-01
4814,7093,Evoker,Preservation,Flameshaper,Healer,CN,Kings' Rest,20,0,1929.6,76545,2,334,2026-08-01
4814,749,Druid,Balance,Elune's Chosen,DPS,CN,Kings' Rest,20,0,1929.6,267358,1,334,2026-08-01
4814,290,Mage,Arcane,Sunfury,DPS,CN,Kings' Rest,20,0,1929.6,287768,1,334,2026-08-01
4814,148,Warlock,Destruction,Diabolist,DPS,CN,Kings' Rest,20,0,1929.6,217594,0,334,2026-08-01
4815,4510,Paladin,Protection,Lightsmith,Tank,EU,Kings' Rest,12,1,1767.0,92226,0,321,2026-08-01
4815,7157,Shaman,Restoration,Totemic,Healer,EU,Kings' Rest,12,1,1767.0,17902,0,321,2026-08-01
4815,7107,Paladin,Retribution,Templar,DPS,EU,Kings' Rest,12,1,1767.0,141476,3,321,2026-08-01
4815,7058,Mage,Arcane,Sunfury,DPS,EU,Kings' Rest,12,1,1767.0,148512,3,321,2026-08-01
4815,7106,Warrior,Arms,Slayer,DPS,EU,Kings' Rest,12,1,1767.0,119278,3,321,2026-08-01
4816,7128,DeathKnight,Blood,San'layn,Tank,EU,Voidscar Arena,15,1,1630.8,115865,1,334,2026-08-01
4816,1474,Shaman,Restoration,Totemic,Healer,EU,Voidscar Arena,15,1,1630.8,29787,1,334,2026-08-01
4816,7129,Druid,Balance,Elune's Chosen,DPS,EU,Voidscar Arena,15,1,1630.8,246373,2,334,2026-08-01
4816,7030,Rogue,Assassination,Fatebound,DPS,EU,Voidscar Arena,15,1,1630.8,242958,1,334,2026-08-01
4816,7188,Mage,Arcane,Sunfury,DPS,EU,Voidscar Arena,15,1,1630.8,235770,3,334,2026-08-01
4817,6350,DeathKnight,Blood,San'layn,Tank,CN,Altar of Fangs,18,0,2240.2,188506,2,334,2026-08-01
4817,6039,Paladin,Holy,Lightsmith,Healer,CN,Altar of Fangs,18,0,2240.2,47287,3,334,2026-08-01
4817,4837,Shaman,Enhancement,Stormbringer,DPS,CN,Altar of Fangs,18,0,2240.2,307796,7,334,2026-08-01
