run_id,char_id,class,spec,hero_talent,role,region,dungeon,key_level,timed,duration_s,dps,deaths,item_level,date,reset_bucket
3602,5316,Monk,Mistweaver,Conduit of the Celestials,Healer,EU,Temple of Sethraliss,19,0,2073.9,51251,1,334,2026-07-10,3
3602,903,Warrior,Arms,Colossus,DPS,EU,Temple of Sethraliss,19,0,2073.9,311468,3,334,2026-07-10,3
3602,334,DemonHunter,Devourer,Annihilator,DPS,EU,Temple of Sethraliss,19,0,2073.9,310614,2,334,2026-07-10,3
3602,1482,Mage,Fire,Sunfury,DPS,EU,Temple of Sethraliss,19,0,2073.9,315568,1,334,2026-07-10,3
3603,5685,Paladin,Protection,Lightsmith,Tank,EU,Den of Nalorakk,18,0,2085.3,144195,0,334,2026-07-27,1
3603,190,Shaman,Restoration,Totemic,Healer,EU,Den of Nalorakk,18,0,2085.3,50771,1,334,2026-07-27,1
3603,3923,Priest,Shadow,Archon,DPS,EU,Den of Nalorakk,18,0,2085.3,283268,1,334,2026-07-27,1
3603,2560,Druid,Balance,Elune's Chosen,DPS,EU,Den of Nalorakk,18,0,2085.3,288732,1,334,2026-07-27,1
3603,5686,Warrior,Arms,Slayer,DPS,EU,Den of Nalorakk,18,0,2085.3,293667,1,334,2026-07-27,1
3604,691,DeathKnight,Blood,Deathbringer,Tank,US,Kings' Rest,15,0,1985.3,74108,0,334,2026-07-12,3
3604,1011,Shaman,Restoration,Totemic,Healer,US,Kings' Rest,15,0,1985.3,30821,2,334,2026-07-12,3
3604,106,Druid,Balance,Elune's Chosen,DPS,US,Kings' Rest,15,0,1985.3,205562,1,334,2026-07-12,3
3604,1014,DeathKnight,Frost,Deathbringer,DPS,US,Kings' Rest,15,0,1985.3,143347,2,334,2026-07-12,3
3604,5687,Warlock,Affliction,Soul Harvester,DPS,US,Kings' Rest,15,0,1985.3,169377,6,334,2026-07-12,3
3605,637,Paladin,Protection,Unknown,Tank,KR,Murder Row,15,-1,1655.9,173546,0,328,2026-07-03,4
3605,2513,Shaman,Restoration,Unknown,Healer,KR,Murder Row,15,-1,1655.9,23863,0,328,2026-07-03,4
3605,2515,Mage,Arcane,Unknown,DPS,KR,Murder Row,15,-1,1655.9,244188,0,328,2026-07-03,4
3605,5284,DeathKnight,Unholy,Unknown,DPS,KR,Murder Row,15,-1,1655.9,219756,1,328,2026-07-03,4
3605,639,Priest,Shadow,Unknown,DPS,KR,Murder Row,15,-1,1655.9,261062,1,328,2026-07-03,4
3606,4672,Paladin,Protection,Lightsmith,Tank,EU,Ruby Life Pools,16,1,1265.0,219148,1,334,2026-07-12,3
3606,5688,Paladin,Holy,Lightsmith,Healer,EU,Ruby Life Pools,16,1,1265.0,60738,1,334,2026-07-12,3
3606,2370,Evoker,Augmentation,Chronowarden,DPS,EU,Ruby Life Pools,16,1,1265.0,251193,0,334,2026-07-12,3
3606,2047,Warrior,Arms,Colossus,DPS,EU,Ruby Life Pools,16,1,1265.0,305359,1,334,2026-07-12,3
3606,2119,Hunter,BeastMastery,Pack Leader,DPS,EU,Ruby Life Pools,16,1,1265.0,323228,0,334,2026-07-12,3
3607,4376,DeathKnight,Blood,San'layn,Tank,US,Ruby Life Pools,15,1,1394.8,206492,0,334,2026-07-23,1
3607,920,Shaman,Restoration,Farseer,Healer,US,Ruby Life Pools,15,1,1394.8,38126,1,334,2026-07-23,1
3607,5689,DeathKnight,Frost,Deathbringer,DPS,US,Ruby Life Pools,15,1,1394.8,293600,0,334,2026-07-23,1
3607,5690,Rogue,Assassination,Fatebound,DPS,US,Ruby Life Pools,15,1,1394.8,172316,3,334,2026-07-23,1
3607,5691,Hunter,Marksmanship,Sentinel,DPS,US,Ruby Life Pools,15,1,1394.8,234803,5,334,2026-07-23,1
3608,4597,Druid,Guardian,Elune's Chosen,Tank,US,Murder Row,12,-1,1872.4,82608,1,315,2026-07-03,4
3608,4598,Monk,Mistweaver,Conduit of the Celestials,Healer,US,Murder Row,12,-1,1872.4,60794,0,315,2026-07-03,4
3608,533,Paladin,Retribution,Herald of the Sun,DPS,US,Murder Row,12,-1,1872.4,181864,6,315,2026-07-03,4
3608,5692,DeathKnight,Frost,Deathbringer,DPS,US,Murder Row,12,-1,1872.4,138192,3,315,2026-07-03,4
3608,4599,Evoker,Augmentation,Scalecommander,DPS,US,Murder Row,12,-1,1872.4,192214,2,315,2026-07-03,4
3609,146,Paladin,Protection,Lightsmith,Tank,CN,Voidscar Arena,20,0,1809.3,183370,1,334,2026-07-17,2
3609,1107,Monk,Mistweaver,Conduit of the Celestials,Healer,CN,Voidscar Arena,20,0,1809.3,83786,2,334,2026-07-17,2
3609,290,Mage,Arcane,Spellslinger,DPS,CN,Voidscar Arena,20,0,1809.3,360435,1,334,2026-07-17,2
3609,2598,Shaman,Elemental,Farseer,DPS,CN,Voidscar Arena,20,0,1809.3,363158,5,334,2026-07-17,2
3609,148,Warlock,Demonology,Diabolist,DPS,CN,Voidscar Arena,20,0,1809.3,306177,2,334,2026-07-17,2
3610,132,Monk,Brewmaster,Master of Harmony,Tank,US,Altar of Fangs,15,-1,1669.1,128505,1,328,2026-06-25,5
3610,133,Monk,Mistweaver,Conduit of the Celestials,Healer,US,Altar of Fangs,15,-1,1669.1,62040,1,328,2026-06-25,5
3610,135,Warlock,Affliction,Soul Harvester,DPS,US,Altar of Fangs,15,-1,1669.1,284329,1,328,2026-06-25,5
3610,66,DeathKnight,Frost,Deathbringer,DPS,US,Altar of Fangs,15,-1,1669.1,336260,1,328,2026-06-25,5
3610,134,DemonHunter,Devourer,Void-Scarred,DPS,US,Altar of Fangs,15,-1,1669.1,219867,1,328,2026-06-25,5
3611,1681,Monk,Brewmaster,Master of Harmony,Tank,US,Altar of Fangs,12,-1,1900.5,113282,4,315,2026-06-25,5
3611,113,Shaman,Restoration,Farseer,Healer,US,Altar of Fangs,12,-1,1900.5,20752,5,315,2026-06-25,5
3611,271,Mage,Arcane,Spellslinger,DPS,US,Altar of Fangs,12,-1,1900.5,154120,3,315,2026-06-25,5
3611,1683,Warlock,Demonology,Diabolist,DPS,US,Altar of Fangs,12,-1,1900.5,174258,5,315,2026-06-25,5
3611,1296,Paladin,Retribution,Templar,DPS,US,Altar of Fangs,12,-1,1900.5,231137,5,315,2026-06-25,5
3612,146,Paladin,Protection,Unknown,Tank,CN,Kings' Rest,15,0,1959.8,136296,2,334,2026-07-09,3
3612,288,Monk,Mistweaver,Unknown,Healer,CN,Kings' Rest,15,0,1959.8,50659,4,334,2026-07-09,3
3612,1999,Hunter,Marksmanship,Unknown,DPS,CN,Kings' Rest,15,0,1959.8,132671,4,334,2026-07-09,3
